Player,Team,Position,Avg. 3-Pointers Att.,Avg. 3-Pointers Made,Avg. Assists,Avg. Blocks,Avg. Field Goals Att.,Avg. Field Goals Made,Avg. Free Throws Att.,Avg. Free Throws Made,Avg. Minutes,Avg. Personal Fouls,Avg. Points,Avg. Offensive Rebounds,Avg. Steals,Avg. Total Rebounds,Avg. Turnovers,Games Played
Terrence Jones,HOU,Power Forward,1.6,0.5,0.8,0.8,7.3,3.3,2.3,1.5,20.9,1.7,8.7,1.2,0.5,4.2,1,50
Norman Powell,TOR,Shooting Guard,1.8,0.7,1,0.2,4.7,2,1.1,0.9,14.9,1.2,5.6,0.3,0.6,2.3,0.7,49
Brandon Jennings,ORL,Point Guard,3.2,1.1,3.6,0.1,6.3,2.3,1.6,1.2,18.1,1.2,6.9,0.3,0.6,2,1.2,48
James Jones,CLE,Shooting Guard,2.2,0.9,0.3,0.2,3,1.2,0.5,0.4,9.7,1,3.8,0.2,0.2,1,0.3,48
Kevin Seraphin,NYK,Power Forward,0,0,1,0.8,4.3,1.8,0.5,0.4,11,1.4,3.9,0.6,0.2,2.6,0.9,48
Luke Babbitt,NOR,Small Forward,2.3,0.9,1.1,0.1,6.1,2.6,1.1,0.8,18,1.9,7,0.5,0.2,3.1,0.5,47
Al Jefferson,CHA,Center,0,0,1.5,0.9,10.7,5.2,2.4,1.5,23.3,2.5,12,1.2,0.6,6.4,0.7,47
Mike Miller,DEN,Small Forward,1.1,0.4,0.9,0.1,1.3,0.5,0,0,8,1.1,1.3,0.1,0.3,1.1,0.4,47
Jason Thompson,TOR,Center,0.3,0.1,0.6,0.4,2.3,1.1,1.1,0.8,10,1.7,3.1,0.7,0.3,2.8,0.3,47
T.J. Warren,PHO,Small Forward,1.5,0.6,0.9,0.3,9.4,4.7,1.4,1,22.7,2,11,1.2,0.8,3.1,0.7,47
Andrea Bargnani,BRO,Center,0.3,0.1,0.4,0.2,6,2.8,1.2,1,13.8,1.3,6.6,0.6,0.1,2.1,0.6,46
Rasual Butler,SAN,Small Forward,1.1,0.3,0.5,0.5,2.3,1.1,0.3,0.2,9.4,0.2,2.7,0.1,0.3,1.2,0.2,46
Tyler Ennis,MIL,Point Guard,0.8,0.3,2.1,0,4.1,1.8,0.7,0.5,14.3,1.4,4.5,0.3,0.5,1.6,1,46
Festus Ezeli,GSW,Center,0,0,0.7,1.1,5,2.7,2.9,1.5,16.7,2,7,2,0.4,5.7,0.8,46
Kirk Hinrich,ATL,Shooting Guard,1.3,0.5,1.6,0,2.8,1.1,0.3,0.3,13.7,1.4,3,0.2,0.3,1.5,0.7,46
Norris Cole,NOR,Point Guard,2.3,0.7,3.7,0.1,10.8,4.4,1.4,1.2,26.6,2.3,10.6,0.2,0.8,3.4,1.7,45
Jared Cunningham,MIL,Shooting Guard,0.9,0.3,0.4,0,2.3,0.8,1.2,0.8,9.2,0.9,2.7,0.1,0.3,0.8,0.5,45
Eric Gordon,NOR,Shooting Guard,6.5,2.5,2.7,0.3,12.2,5.1,2.8,2.5,32.9,2.2,15.2,0.2,1,2.2,1.6,45
Glenn Robinson,IND,Small Forward,0.8,0.3,0.6,0.2,3.4,1.4,0.9,0.6,11.4,0.5,3.8,0.3,0.4,1.5,0.4,45
Seth Curry,SAC,Shooting Guard,2.5,1.1,1.5,0.1,5.1,2.3,1.2,1,15.8,0.9,6.8,0.2,0.5,1.4,0.8,44
Tyler Hansbrough,CHA,Power Forward,0.1,0,0.2,0.2,1.6,0.7,1.5,0.9,7.9,1.2,2.4,0.9,0.3,2,0.3,44
Beno Udrih,MIA,Point Guard,1,0.3,2.6,0,4.5,2,0.5,0.4,16.1,1.2,4.7,0.2,0.3,1.6,1.2,44
Troy Daniels,CHA,Shooting Guard,2.8,1.4,0.5,0.1,4.3,2.1,0.2,0.1,11.1,0.9,5.6,0.2,0.3,1.3,0.6,43
John Jenkins,PHO,Shooting Guard,1.2,0.4,0.8,0,3.7,1.6,0.6,0.5,11,0.5,4.1,0.2,0.2,1.3,0.6,43
Sonny Weems,PHI,Shooting Guard,1,0.3,1.1,0,2.6,1,0.3,0.2,11.7,1.1,2.5,0.2,0.2,1.2,1,43
Josh McRoberts,MIA,Power Forward,1.2,0.3,1.9,0.2,3.5,1.3,1,0.7,14.2,1.6,3.6,0.5,0.4,2.5,0.7,42
O.J. Mayo,MIL,Shooting Guard,4,1.3,2.9,0.2,7.8,2.9,1,0.8,26.5,3.1,7.8,0.3,1.1,2.6,1.8,41
James McAdoo,GSW,Shooting Guard,0,0,0.4,0.2,2,1.1,1.2,0.6,6.5,1,2.9,0.7,0.2,1.4,0.4,41
Ray McCallum,MEM,Point Guard,1,0.4,1.5,0.2,3.6,1.3,0.4,0.3,11.6,0.7,3.3,0.2,0.3,1.1,0.6,41
Mo Williams,CLE,Point Guard,2.5,0.9,2.4,0.1,7.4,3.2,1,0.9,18.2,1.5,8.2,0.1,0.3,1.8,1.4,41
Joseph Young,IND,Point Guard,1.1,0.2,1.6,0,4.1,1.5,0.6,0.5,9.4,0.7,3.8,0.1,0.4,1.2,0.8,41
Sergey Karasev,BRO,Shooting Guard,0.9,0.3,0.9,0.1,1.9,0.8,0.7,0.7,10.1,0.7,2.4,0.2,0.1,1.4,0.6,40
Gary Neal,WAS,Point Guard,2.5,1,1.2,0,8.1,3.8,1.4,1.2,20.2,1.4,9.8,0.3,0.5,2.1,0.8,40
Tarik Black,LAL,Center,0,0,0.4,0.5,2.7,1.5,1.2,0.5,12.7,2,3.4,1.1,0.4,4,0.6,39
Kevin Garnett,MIN,Power Forward,0,0,1.6,0.3,2.9,1.4,0.5,0.4,14.3,1.8,3.1,0.4,0.7,3.8,0.4,39
Montrez Harrell,HOU,Power Forward,0,0,0.4,0.3,2.3,1.5,1.2,0.6,9.7,1.2,3.6,0.7,0.3,1.7,0.4,39
Andre Miller,SAN,Point Guard,0.2,0.1,2.2,0,2.7,1.5,0.8,0.6,11.8,1.2,3.7,0.3,0.4,1.3,0.9,39
Jameer Nelson,DEN,Point Guard,3.7,1.1,4.9,0.1,7.9,2.9,0.9,0.8,26.6,2.6,7.7,0.5,0.6,2.9,1.7,39
Willie Reed,BRO,Power Forward,0,0,0.3,0.8,3.4,1.9,1.4,0.8,10.9,1.2,4.7,1.3,0.2,3.1,0.4,39
Terry Rozier,BOS,Point Guard,0.7,0.2,0.9,0,2.7,0.7,0.3,0.2,7.9,0.6,1.8,0.6,0.2,1.6,0.5,39
Darrun Hilliard,DET,Shooting Guard,1.3,0.5,0.7,0,3.5,1.4,1.1,0.8,10.2,0.7,4,0.1,0.2,1.2,0.5,38
Kendrick Perkins,NOR,Center,0,0,0.8,0.3,2,1.1,0.7,0.3,14.3,1.7,2.4,0.7,0.3,3.4,1.1,38
Reggie Bullock,DET,Small Forward,1.4,0.6,0.7,0.1,2.6,1.2,0.4,0.4,11.5,0.8,3.3,0.4,0.3,1.8,0.2,37
Udonis Haslem,MIA,Power Forward,0.2,0,0.4,0.1,1.6,0.6,0.4,0.3,7,0.7,1.6,0.3,0.1,2,0.1,37
Ryan Hollins,MEM,Center,0,0,0.3,0.6,2.1,1.3,1.1,0.7,12.5,1.7,3.4,1.3,0.2,2.6,0.6,37
Tyus Jones,MIN,Point Guard,1.4,0.4,2.9,0.1,4.2,1.5,1.1,0.8,15.6,0.9,4.2,0.2,0.8,1.3,0.9,37
K.J. McDaniels,HOU,Shooting Guard,0.7,0.2,0.3,0.2,1.9,0.8,0.8,0.6,6.4,0.8,2.4,0.4,0.2,1.1,0.5,37
Dona Motiejunas,HOU,Power Forward,1.5,0.4,1.1,0.1,5.5,2.4,1.4,0.9,14.8,1.9,6.2,1,0.5,2.9,1.2,37
R.J. Hunter,BOS,Shooting Guard,1.8,0.5,0.4,0.1,2.7,1,0.2,0.2,8.9,0.8,2.7,0.1,0.4,1,0.3,36
Tyler Johnson,MIA,Shooting Guard,1.9,0.8,2.2,0.4,6.7,3.3,1.8,1.4,23.9,1.8,8.7,0.8,0.7,3.1,1.3,36
Ryan Kelly,LAL,Power Forward,1,0.1,0.6,0.3,4.1,1.5,1.5,1,13,1.1,4.2,0.6,0.4,3.4,0.5,36
Carl Landry,PHI,Power Forward,0.4,0.2,0.9,0.2,6.9,3.9,2.5,1.9,15.8,1.9,9.8,1.4,0.3,4.1,0.6,36
Tiago Splitter,ATL,Power Forward,0.1,0,0.8,0.3,4.3,2.2,1.3,1.1,16.1,2,5.6,1.2,0.6,3.4,0.7,36
Ron Artest,LAL,Small Forward,2.4,0.7,0.8,0.3,5.1,1.6,1.6,1.1,16.8,1.9,5,0.5,0.6,2.5,0.4,35
Blake Griffin,LAC,Power Forward,0.5,0.2,4.9,0.5,17.3,8.6,5.5,4,33.5,2.7,21.4,1.5,0.8,8.4,2.4,35
J.J. Hickson,WAS,Power Forward,0,0,0.7,0.4,4.4,2.3,2.9,1.3,12.5,1.3,5.9,1.1,0.4,3.8,0.7,35
Lamar Patterson,ATL,Shooting Guard,1.4,0.3,1.1,0.1,2.3,0.8,0.6,0.5,11.4,1.3,2.4,0.1,0.3,1.4,0.7,35
Pat Connaughton,POR,Shooting Guard,0.6,0.1,0.3,0,1.4,0.4,0.1,0.1,4.3,0.2,1.1,0.3,0.1,0.9,0.3,34
Javale McGee,DAL,Center,0,0,0.1,0.8,3.9,2.3,1.1,0.5,10.8,1.4,5.1,1.6,0.1,3.9,0.6,34
Salah Mejri,DAL,Center,0,0,0.3,1,2.3,1.4,1.4,0.8,11.7,1.6,3.7,1.2,0.2,3.6,0.7,34
Damjan Rudez,MIN,Small Forward,1.5,0.5,0.3,0,1.9,0.8,0.2,0.2,8.4,1,2.3,0.2,0.1,0.6,0.4,33
C.J. Watson,ORL,Point Guard,1.5,0.4,2.7,0.2,4.2,1.4,1.2,1,19.8,1.5,4.3,0.3,0.6,2,0.8,33
Jarrett Jack,BRO,Point Guard,3.2,1,7.4,0.2,11.2,4.4,3.5,3.1,32.1,2.4,12.8,0.2,1.1,4.2,2.9,32
Jusuf Nurkic,DEN,Center,0.1,0,1.2,1.4,7.6,3.2,3.1,1.9,17.1,2.8,8.2,2,0.8,5.4,1.7,32
Eric Bledsoe,PHO,Point Guard,4.2,1.5,6.1,0.6,15.9,7.2,5.5,4.5,34.1,2.4,20.4,0.6,2,4,3.6,31
Alec Burks,UTA,Point Guard,2.5,1,2,0.1,10.8,4.4,4.5,3.4,25.7,2.3,13.3,0.5,0.6,3.5,1.6,31
Mike Dunleavy,CHI,Shooting Guard,3.2,1.3,1.3,0.3,6.1,2.5,1.2,0.9,22.6,2.1,7.2,0.3,0.5,2.7,0.8,31
Cristian Felicio,CHI,Power Forward,0.1,0,0.8,0.4,2.3,1.3,1.1,0.8,10.3,1,3.4,1,0.2,3.3,0.4,31
Matt Bonner,SAN,Center,1.2,0.5,0.3,0,1.9,1,0.1,0.1,7,0.5,2.5,0.1,0.2,0.9,0.1,30
Jeremy Evans,DAL,Small Forward,0.5,0.1,0.1,0.3,1.6,0.9,0.7,0.5,8.4,0.6,2.4,0.4,0.2,1.8,0.2,30
Drew Gooden,WAS,Power Forward,1.4,0.2,0.4,0.4,3.4,1.1,0.5,0.3,10.1,1.3,2.7,0.9,0.3,2.8,0.4,30
Sean Kilpatrick,BRO,Shooting Guard,3.8,1.3,1,0.1,9,4.1,2.2,2,20.5,1.2,11.5,0.4,0.4,1.9,1,30
Kendall Marshall,PHI,Point Guard,1.6,0.5,2.4,0.1,3.9,1.4,0.4,0.3,13.3,1,3.7,0.1,0.5,0.9,1.4,30
Lou Amundson,NYK,Power Forward,0,0,0.4,0.2,1.8,0.7,0.9,0.5,6.9,1.5,1.8,0.8,0.2,1.7,0.5,29
Dejuan Blair,WAS,Center,0,0,0.4,0.1,2.3,1,0.4,0.2,7.5,1.8,2.1,0.7,0.3,2,0.5,29
Anthony Brown,LAL,Small Forward,2.4,0.7,0.7,0.2,4.3,1.3,0.7,0.6,20.6,1.2,4,0.3,0.5,2.4,0.5,29
Joakim Noah,CHI,Center,0,0,3.8,1,4.6,1.8,1.6,0.8,21.9,2.7,4.3,3,0.6,8.8,1.8,29
Lucas Nogueira,TOR,Center,0.1,0,0.2,0.4,1.5,1,0.5,0.3,7.8,1,2.2,0.6,0.4,1.6,0.4,29
James Young,BOS,Shooting Guard,0.9,0.2,0.3,0,1.2,0.4,0.1,0,6.9,0.6,1,0.1,0.2,0.9,0.2,29
Devyn Marble,ORL,Small Forward,1.1,0.3,0.4,0,2.5,0.8,0.9,0.4,8.9,0.9,2.1,0.2,0.5,1.4,0.2,28
Chris Andersen,MEM,Power Forward,0.5,0.1,0.4,0.5,2.7,1.4,1.3,0.9,15,1.1,3.9,1.3,0.6,3.6,0.3,27
Jarell Martin,MEM,Power Forward,0.1,0,0.6,0.3,4.3,2,2.3,1.7,14.1,2.1,5.7,1.4,0.3,3.2,0.7,27
Delon Wright,TOR,Point Guard,0.5,0.2,1.1,0.1,3,1.3,1.3,1,8.6,0.3,3.8,0.3,0.3,1.4,0.6,27
Demarre Carroll,TOR,Small Forward,4.5,1.8,1,0.2,10.4,4,1.9,1.2,30.3,2.4,11,1.2,1.7,4.7,1.1,26
Jarell Eddie,WAS,Shooting Guard,1.8,0.6,0.2,0,2.5,0.8,0.3,0.3,5.7,0.2,2.4,0.1,0.2,0.9,0,26
Kos Papanikolaou,DEN,Small Forward,1.2,0.4,0.6,0.2,2.5,0.9,0.5,0.3,11.3,0.9,2.6,0.3,0.5,1.5,0.8,26
Tyreke Evans,NOR,Shooting Guard,3.4,1.3,6.6,0.3,12.5,5.4,3.7,3,30.6,2.6,15.2,0.8,1.3,5.2,2.9,25
Robert Sacre,LAL,Center,0,0,0.6,0.4,3,1.2,1.5,1,12.8,1.7,3.5,1.3,0.2,2.9,0.5,25
Chris Copeland,MIL,Small Forward,1.5,0.4,0.5,0,2.1,0.7,0.3,0.2,6.6,0.7,2.1,0,0.1,0.4,0.2,24
Sasha Kaun,CLE,Center,0,0,0.1,0.2,0.7,0.4,0.5,0.2,4,0.5,1,0.5,0.2,1.1,0.3,24
Chris McCullough,BRO,Power Forward,1.5,0.5,0.4,0.5,4.5,1.8,1,0.5,15.1,1.6,4.7,1,1.2,2.8,0.6,24
Greivis Vasquez,MIL,Point Guard,3.1,0.7,4,0,6,1.9,1.1,1,20,1.8,5.5,0.2,0.4,2,1.7,23
C.J. Wilcox,LAC,Shooting Guard,1,0.4,0.4,0.1,2.9,1.1,0.5,0.4,7.3,0.7,3,0,0.4,0.5,0.1,23
James Ennis,NOR,Small Forward,2.6,1.2,1,0.2,5.1,2.5,1.5,1.1,15,1.3,7.2,1,0.7,1.9,0.9,22
Jordan McRae,CLE,Shooting Guard,1,0.5,1.1,0,3.5,1.5,1.3,1,9,0.8,4.5,0.2,0.1,0.9,0.7,22
Phil Pressey,PHO,Shooting Guard,0.8,0.2,3.3,0.2,3.5,1.4,1.1,0.6,12.7,1.3,3.5,0.1,0.8,1.3,1.5,22
Aaron Harrison,CHA,Shooting Guard,0.5,0.1,0.1,0,0.9,0.2,0.6,0.2,4.6,0.5,0.9,0.2,0.3,0.7,0.2,21
Axel Toupane,DEN,Shooting Guard,1.9,0.6,0.7,0.3,3.3,1.2,0.8,0.6,14.6,1.9,3.6,0.4,0.3,1.5,0.3,21
Michael Beasley,HOU,Power Forward,0.5,0.1,0.8,0.5,10.2,5.3,2.5,1.9,18,1.9,12.8,1.4,0.6,4.9,1.2,20
Damien Inglis,MIL,Small Forward,0.7,0.1,0.5,0.1,1.9,0.7,0.4,0.3,8,0.6,1.8,0.1,0.3,1.6,0.6,20
Mitch McGary,OKL,Power Forward,0.2,0,0.1,0.1,1.1,0.6,0.5,0.2,3.6,0.5,1.3,0.2,0.1,0.9,0.3,20
Elijah Millsap,UTA,Shooting Guard,0.6,0.1,0.9,0.1,1.9,0.6,0.9,0.7,8.7,1.6,1.8,0.3,0.3,1.8,0.5,20
Joel Anthony,DET,Center,0,0,0.1,0.6,0.5,0.3,0.4,0.3,5,0.8,0.9,0.4,0.1,1.1,0.1,19
Anthony Bennett,TOR,Power Forward,0.7,0.2,0,0,1.4,0.4,0.5,0.5,4.5,0.4,1.5,0.3,0.3,1.2,0.2,19
Cameron Bairstow,CHI,Power Forward,0.3,0.1,0.3,0.2,2.2,0.7,0.4,0.4,5.7,1.1,1.9,0.2,0.1,1.6,0.2,18
Greg Smith,MIN,Power Forward,0,0,0.3,0.1,1.8,1,0.9,0.4,10.8,1.6,2.4,0.7,0.2,2.3,0.4,18
Elton Brand,PHI,Power Forward,0.1,0,1.1,0.5,4.2,1.8,0.5,0.5,13.2,1.9,4.1,0.5,0.5,3.7,0.6,17
Caron Butler,SAC,Small Forward,1.1,0.2,0.6,0.1,3.5,1.5,0.7,0.6,10.4,1.1,3.7,0.3,0.5,1.3,0.2,17
Cleanthony Early,NYK,Small Forward,0.9,0.2,0.4,0.2,2.4,0.7,0.2,0.2,9.1,0.9,1.8,0.2,0.1,1.5,0.5,17
Christian Wood,PHI,Power Forward,0.6,0.2,0.2,0.4,3.1,1.3,1.2,0.8,8.6,0.6,3.6,0.8,0.3,2.2,0.1,17
Jeff Ayres,LAC,Power Forward,0.1,0,0.2,0,1.3,0.6,0.2,0.2,5.9,1,1.5,0.2,0,1.2,0.3,16
Chris Kaman,POR,Center,0.2,0.1,0.7,0.1,2.7,1.2,0.2,0.2,7.1,0.9,2.8,0.4,0.1,1.5,0.5,16
Jordan Mickey,BOS,Power Forward,0,0,0.1,0.7,1.4,0.5,0.6,0.3,3.7,0.3,1.3,0.4,0,0.8,0.1,16
Russ Smith,MEM,Point Guard,0.3,0.1,0.7,0.1,1.5,0.5,0.9,0.5,4.3,0.3,1.5,0.1,0.3,0.6,0.5,15
Xavier Munford,MEM,Point Guard,1.6,0.6,1.6,0.2,5.5,2.3,1,0.5,17.6,1.8,5.7,0.2,0.9,2.2,1.1,14
Henry Sims,BRO,Center,0.1,0,0.6,0.9,5.5,2.4,2.1,1.8,18.8,2.6,6.5,1.5,0.6,5.1,0.9,14
Alan Anderson,WAS,Shooting Guard,2.8,0.9,1.1,0.1,4.5,1.6,1.2,0.8,14.8,1.9,5,0.1,0.3,2.1,0.2,13
Spence Dinwiddie,DET,Point Guard,0.8,0.1,1.8,0,4.4,1.6,2.8,1.6,13.2,1.7,4.8,0.3,0.2,1.4,0.6,12
Jordan Farmar,MEM,Point Guard,3.8,1.3,3.1,0.2,8.3,3.5,0.8,0.8,24.2,1.8,9.2,0.3,1.2,2.1,1.5,12
Jorge Gutierrez,CHA,Point Guard,0.2,0,1.4,0,0.9,0.5,0.9,0.8,5.3,0.2,1.8,0,0.2,0.6,0.5,12
Luis Montero,POR,Shooting Guard,0.8,0.1,0.1,0,1.6,0.4,0.3,0.2,3.6,0.1,1.2,0,0,0.3,0.3,12
Nikola Pekovic,MIN,Center,0,0,0.9,0,4.2,1.6,1.7,1.3,13,1.8,4.5,0.6,0.1,1.8,0.8,12
Tibor Pleiss,UTA,Center,0.2,0,0.2,0.2,2.1,0.9,0.2,0.2,6.9,1.6,2,0.5,0.1,1.2,0.7,12
Brandan Wright,MEM,Power Forward,0,0,0.5,1.2,4.3,2.9,2,1.1,17.8,1.8,6.9,1.2,0.4,3.6,0.8,12
Bryce Dejean-jones,NOR,Shooting Guard,2.7,1,1.4,0.2,6.1,2.5,1.9,1,24.6,1.5,6.9,0.7,0.9,4,1,11
Jordan Hamilton,NOR,Shooting Guard,4.1,1.2,2.3,0.3,10.5,4.5,1.9,1.3,27.7,2.2,11.4,1.1,0.7,5.6,1.5,11
Walter Tavares,ATL,Center,0,0,0.3,0.5,1.7,1,0.7,0.3,6.3,0.7,2.3,0.6,0.1,1.9,0.5,11
Steve Novak,MIL,Small Forward,1.5,0.7,0,0,1.8,0.8,0.1,0.1,4.3,0.3,2.4,0,0,0.5,0.1,10
Alan Williams,PHO,Center,0,0,0.5,0.5,2.4,1,1.4,0.9,6.7,1.5,2.9,1.4,0.4,3.8,0.6,10
Cliff Alexander,POR,Power Forward,0,0,0,0.2,1.1,0.6,0,0,4.1,0.1,1.1,0.2,0.1,0.7,0.1,9
Erick Green,UTA,Point Guard,0.6,0.1,0.3,0,1.4,0.6,0.2,0.2,4.7,0.4,1.4,0.3,0.1,0.7,0,9
Eric Moreland,SAC,Power Forward,0,0,0.1,0.4,0.7,0.3,0.4,0.2,5.2,0.4,0.9,0.3,0,1.2,0.3,9
Lorenzo Brown,PHO,Point Guard,1,0.1,1.4,0.1,3.1,1,0.5,0.4,7.5,0.5,2.5,0,0.4,0.9,1.1,8
Bryce Cotton,MEM,Point Guard,0.4,0,0.4,0,1.2,0.5,0,0,5.1,0.2,1,0,0.4,0,0.6,8
Andre Goudelock,HOU,Point Guard,1.1,0.1,0.5,0.2,2.5,1.1,0.5,0.4,6.4,0.5,2.8,0.1,0.8,0.2,0.9,8
Cory Jefferson,PHO,Power Forward,0.1,0,0,0.1,2.8,1.1,0.8,0.5,6.5,1,2.8,0.8,0,2,0,8
Alex Stepheson,MEM,Small Forward,0,0,0.2,0.6,3.4,1.1,1.5,0.5,9,1.5,2.8,2.4,0.1,3.5,0,8
Tony Wroten,PHI,Shooting Guard,2.1,0.4,2.5,0,8.1,2.8,4.6,2.5,18.1,1.4,8.4,0.2,0.4,2.6,3.6,8
Orlando Johnson,NOR,Shooting Guard,1.6,0.3,0.3,0.4,5,1.3,1.1,0.9,14.6,1.3,3.7,0.6,0.4,2.1,0.6,7
M Kidd-gilchrist,CHA,Small Forward,1,0.4,1.3,0.4,8.7,4.7,4.1,2.9,29.3,1.3,12.7,1.7,0.4,6.4,1.1,7
Jarnell Stokes,NOR,Center,0,0,0.1,0,0.7,0.4,0.3,0.1,2.6,0.1,1,0.1,0.1,0.6,0,7
Briante Weber,MIA,Point Guard,0.7,0,3,0.4,5.6,2,0.6,0.4,24.3,1.7,4.4,1.1,1.3,3.6,1.3,7
Shay Whittington,IND,Power Forward,0.3,0,0.4,0.1,1.6,0.7,0.3,0.1,5.9,1,1.6,0.7,0.1,1.7,0.7,7
Bruno Caboclo,TOR,Small Forward,1.2,0.2,0.2,0.2,2,0.2,0,0,7.2,0.3,0.5,0.2,0.3,0.3,0.7,6
Branden Dawson,LAC,Small Forward,0,0,0,0.2,0.8,0.3,0.2,0.2,4.7,0.3,0.8,0.3,0,0.7,0,6
Jimmer Fredette,NYK,Point Guard,0.3,0.2,0,0,0.8,0.3,0.8,0.7,2.8,0.3,1.5,0,0.2,0,0.3,6
Keith Appling,ORL,Point Guard,0.6,0,0.2,0,1.6,0.4,0.4,0.4,5.4,1,1.2,0,0.2,0.2,0.6,5
Justin Harper,DET,Power Forward,1.8,0.8,0,0,2,0.8,0.4,0.2,7,0.6,2.6,0,0.2,0.2,0.4,5
Joe Harris,CLE,Shooting Guard,0.8,0.2,0.4,0,0.8,0.2,0,0,3,0.2,0.6,0,0,0.6,0.2,5
Josh Huestis,OKL,Small Forward,1.2,0.8,0,0.4,2.4,1,0.8,0,11,0.6,2.8,0.4,0.2,2,0.6,5
Kevon Looney,GSW,Small Forward,0.4,0.2,0,0,1.4,0.8,0,0,4.2,0.4,1.8,0.8,0,2,0.2,5
Nazr Mohammed,OKL,Center,0,0,0,0,1,0.6,0.4,0.4,4,0.8,1.6,0.2,0,0.8,0.6,5
Elliot Williams,MEM,Shooting Guard,0.8,0.2,0.8,0,2,0.4,0.8,0.6,9.2,0.4,1.6,0.2,0.2,0.8,0.2,5
Coty Clarke,BOS,Small Forward,0.5,0.5,0,0,1,0.5,0,0,2,0,1.5,0,0,0.2,0.2,4
Th Antetokounmpo,NYK,Small Forward,0.3,0,0,0,1.3,1,0,0,2.3,0.7,2,0,0,0.3,0,3
Sam Dekker,HOU,Small Forward,0,0,0,0,0,0,0,0,2.3,0,0,0,0.3,0.3,0,3
Jodie Meeks,DET,Shooting Guard,3,1.3,1,0,6.7,2.3,1.3,1.3,14.7,0.7,7.3,0.3,0,1.7,0.3,3
Jordan Adams,MEM,Shooting Guard,0.5,0,1.5,0,3,1,2.5,1.5,7.5,1,3.5,0,1.5,1,1,2
Chuck Hayes,HOU,Power Forward,0,0,1,0,1,0.5,1,1,12,3,2,0,0,4,1.5,2
Nate Robinson,NOR,Point Guard,0.5,0,2,0,0.5,0,0,0,11.5,2.5,0,0,0.5,0,0,2
Rakeem Christmas,IND,Power Forward,0,0,0,0,2,2,0,0,6,1,4,1,0,1,0,1
Duje Dukan,SAC,Power Forward,5,2,1,0,10,2,0,0,24,2,6,2,1,4,0,1
Dahntay Jones,CLE,Shooting Guard,2,1,2,2,14,6,0,0,42,6,13,1,1,5,0,1
J.J. O'brien,UTA,Small Forward,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1